time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:35.208Z,0.239526461,0.197419245,-9.6208588,0.0132415223,-0.0123758118,0.0394574024
2025-09-22T07:39:35.213Z,0.243749613,0.192173813,-9.62782503,0.0142387724,-0.0119750084,0.0396389573
2025-09-22T07:39:35.218Z,0.240278399,0.191338803,-9.6257975,0.0131853757,-0.0114501566,0.0397150025
2025-09-22T07:39:35.223Z,0.232622498,0.189765685,-9.61832476,0.0130227685,-0.0114540124,0.0394442119
2025-09-22T07:39:35.228Z,0.24298461,0.183474721,-9.62194711,0.0133659427,-0.0117263769,0.0392595421
2025-09-22T07:39:35.233Z,0.253194785,0.180971256,-9.62375463,0.0134830126,-0.0119672819,0.0398125408
2025-09-22T07:39:35.238Z,0.253470152,0.179999819,-9.60913294,0.0139977618,-0.011129554,0.0403159923
2025-09-22T07:39:35.243Z,0.253319883,0.182205852,-9.59907281,0.0141288445,-0.0104680849,0.0404509951
2025-09-22T07:39:35.248Z,0.25845954,0.165433811,-9.60085328,0.0143282608,-0.010573419,0.0410386088
2025-09-22T07:39:35.253Z,0.254810832,0.156323163,-9.59501118,0.0149337003,-0.0112247105,0.0412827386
2025-09-22T07:39:35.258Z,0.250293629,0.16306482,-9.58186883,0.015146083,-0.0108109514,0.0409991316
2025-09-22T07:39:35.263Z,0.245736455,0.160985393,-9.57969075,0.0159011889,-0.0105153244,0.0408388185
2025-09-22T07:39:35.268Z,0.246286733,0.159051015,-9.58709186,0.0163901109,-0.010040685,0.0408424444
2025-09-22T07:39:35.273Z,0.243082162,0.160330653,-9.58516666,0.0160927537,-0.0100543337,0.0414165365
2025-09-22T07:39:35.278Z,0.241355658,0.156343423,-9.5790132,0.0161258485,-0.0106530645,0.0419000596
2025-09-22T07:39:35.283Z,0.239275853,0.147475435,-9.58308944,0.0158987335,-0.0106727503,0.0416658055
2025-09-22T07:39:35.288Z,0.237563167,0.141924155,-9.58676515,0.0160167442,-0.00993177701,0.0412901305
2025-09-22T07:39:35.293Z,0.230852916,0.146700497,-9.57791539,0.0157063764,-0.00943416197,0.0412158269
2025-09-22T07:39:35.298Z,0.223149004,0.14605865,-9.56657179,0.016026707,-0.00925348643,0.0415134867
2025-09-22T07:39:35.303Z,0.22416578,0.13170409,-9.5648951,0.0164649442,-0.00932217908,0.0418469407
2025-09-22T07:39:35.308Z,0.23160522,0.125467292,-9.55907273,0.0168234616,-0.00891641215,0.0420680186
2025-09-22T07:39:35.313Z,0.23063609,0.124558176,-9.54350014,0.0167440673,-0.00886229686,0.0417973193
2025-09-22T07:39:35.318Z,0.227968412,0.125566364,-9.53966436,0.0170308207,-0.00928369467,0.0419243706
